id,NAME,DESCRIPTION,CATEGORY,EFFECT,VISUAL_DESCRIPTION,CLASS,IMAGES,DEFAULT_IMAGE,VALID,PIXEL_IMAGES,DEFAULT_PIXEL_IMAGE,ATK,DEF,CREATED_AT,UPDATED_AT
263,Helm of Teleportation,This magical helm allows the wearer to teleport to any location they can imagine.,defense_item,Teleport to any location,A silver helm with a glowing blue gem in the center of the forehead.,Arcane,,,1,,,,,2023-10-31T08:02:41.828766,
264,Helm of Underwater Action,This magical helm grants its wearer the ability to breathe underwater and swim with great speed and agility.,defense_item,Grants the wearer the ability to breathe underwater and swim with great speed and agility.,"The Helm of Underwater Action is a deep blue helm with a silver trim. It has a large, curved visor that covers the wearer's face and a pair of gills on either side of the helm. The helm is adorned with a pair of fins on the back and a long, flowing mane of seaweed-like material.",Magical Item,,,1,,,,,2023-10-31T08:02:41.845776,
265,Helmet of the Ironclad,"This helmet was forged by the Ironclad, a legendary blacksmith from the ancient kingdom of Kaldor. It is said to be unbreakable and provides protection from all forms of physical harm.",defense_item,Grants immunity to physical damage.,"The Helmet of the Ironclad is a large, heavy helmet made of a dark metal. It has a thick, curved brim and a visor that covers the face. The helmet is adorned with intricate designs and symbols, and it glows with a faint blue light.",Armor,,,1,,,,,2023-10-31T08:02:41.866860,
266,Hex of Confusionation,This spell causes the target to become confused and unable to think clearly.,magic_item,"The target must make a Wisdom saving throw. On a failed save, the target is confused for 1 minute. On a successful save, the target is not affected.","A swirling purple mist surrounds the target, causing them to become disoriented and confused.",Hex,,,1,,,,,2023-10-31T08:02:41.890015,
267,Hex of the Werewolf King,"This powerful spell can transform a creature into a werewolf, granting them enhanced strength and speed.",magic_item,Target creature becomes a werewolf until the end of the turn.,"A dark, swirling mass of energy, with a howling wolf's head at its center.",Spell,,,1,,,,,2023-10-31T08:02:41.908858,
268,Hex-Frosted-Fury,A powerful spell that freezes an enemy in place and deals massive damage.,magic_item,Freezes an enemy in place and deals massive damage.,A swirling vortex of icy blue energy that encases the enemy in a thick layer of frost.,Mage,,,1,,,,,2023-10-31T08:02:41.934728,
269,Hook Sword of the Tempest,"A powerful sword forged in the heart of a raging storm, the Hook Sword of the Tempest is a weapon of immense power.",attack_item,"When used in battle, the Hook Sword of the Tempest grants its wielder a +2 bonus to attack and damage rolls.","The Hook Sword of the Tempest is a long, curved blade with a jagged edge. The hilt is wrapped in leather and the blade is etched with swirling patterns that seem to move and shift in the light.",Legendary,,,1,,,,,2023-10-31T08:02:41.957943,
270,Horns of the Wild Hunt,The Horns of the Wild Hunt are a powerful magical artifact that can summon a powerful force of spectral hunters to do the wielder's bidding.,attack_item,Summons a powerful force of spectral hunters to do the wielder's bidding.,"The Horns of the Wild Hunt are a pair of curved horns made of a dark metal, with intricate carvings of wild animals and mythical creatures. They have a faint, eerie glow that pulses with a strange energy.",Artifact,,,1,,,,,2023-10-31T08:02:41.979647,
271,Hurin's Fury,"When Hurin's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A powerful storm rages across the battlefield, with lightning and thunder crashing around the creatures. The creatures are surrounded by a bright red aura, signifying the power of Hurin's Fury.",Neutral,,,1,,,,,2023-10-31T08:02:42.007784,
272,Hydra's Fury,A powerful spell that unleashes a furious blast of energy from the caster's hands.,creature,Deals 5 damage to all enemies.,"A bright blue light erupts from the caster's hands, forming a large, swirling sphere of energy that quickly expands outward, engulfing all enemies in its path.",Mage,,,1,,,,,2023-10-31T08:02:42.029991,
273,Hydra's Fury,A powerful spell that unleashes a furious blast of energy from the caster's hands.,creature,Deals X damage to all enemies.,"A bright blue light erupts from the caster's hands, forming a large, swirling sphere of energy that quickly expands outward, engulfing all enemies in its path.",Mage,,,1,,,,,2023-10-31T08:02:42.048227,
274,"Idril Celebrindal, Queen of the Golden Wood","Idril Celebrindal is a powerful elven queen who rules over the Golden Wood. She is a wise and just ruler, and her people love and respect her. She is a master of magic and can use it to protect her kingdom and its people.",creature,Protects her kingdom and its people with her magical powers.,"Idril Celebrindal is a beautiful elven queen with long golden hair and piercing blue eyes. She wears a golden crown and a flowing white gown. She carries a staff in her right hand, and a glowing orb in her left.",Queen,,,1,,,,,2023-10-31T08:02:42.066331,
275,Impish Glare,This card allows you to force your opponent to discard their hand and draw a new one.,creature,Discard your opponent's hand and draw a new one.,"A mischievous looking creature with glowing eyes stares out from the card, its mouth curled into a smirk.",Spell,,,1,,,,,2023-10-31T08:02:42.084551,
276,Impish Glare,The Impish Glare card allows the user to cast a powerful spell that causes the target to become paralyzed with fear.,creature,Paralyzes the target with fear.,"The card depicts a small imp with a mischievous grin, surrounded by a swirling purple aura.",Spell,,,1,,,,,2023-10-31T08:02:42.104693,
277,Impish Trickster,A mischievous creature that loves to play pranks on its opponents.,creature,"When this card is played, the opponent must discard two cards from their hand.","A small, green-skinned creature with a mischievous grin, wearing a tattered purple cloak and a pointed hat.",Rogue,,,1,,,,,2023-10-31T08:02:42.126731,
278,Incense of Concentration,This incense is said to help the user focus and concentrate on their task at hand.,magic_item,The user gains a +2 bonus to their Concentration checks for the next hour.,"The incense is a light purple color and has a sweet, floral scent.",Spell,,,1,,,,,2023-10-31T08:02:42.144767,
279,Incense of Meditation,This incense is said to bring clarity of thought and peace of mind to those who use it.,magic_item,The user gains +2 to Wisdom and +1 to Intelligence for the duration of the spell.,"The incense is a light purple color and emits a sweet, calming scent when burned.",Spell,,,1,,,,,2023-10-31T08:02:42.164986,
280,Incense of the Mystic,"This incense is said to be blessed by a powerful mystic, granting its user the power to see the future.",magic_item,Draw two cards from your deck.,"A small, white stick of incense with a faint blue smoke rising from it, surrounded by a halo of light.",Spell,,,1,,,,,2023-10-31T08:02:42.185816,
281,Jabberwocky's Fury,A powerful spell that unleashes the fury of the Jabberwocky upon your enemies.,creature,"Deal X damage to target creature or player, where X is the number of cards in your hand.","A giant, dragon-like creature with razor sharp claws and teeth, surrounded by a swirling vortex of energy.",Sorcery,,,1,,,,,2023-10-31T08:02:42.208442,
282,Jackalope's Blessing,"A blessing from the Jackalope, granting its user a powerful boon.",creature,Grant the caster a +2 bonus to their next attack roll.,"A magical aura of light surrounds the caster, with a small jackalope figure in the center, its antlers glowing with a bright light.",Spell,,,1,,,,,2023-10-31T08:02:42.226415,
283,Jackalope's Blessing,"A blessing from the Jackalope, granting its user a powerful boon.",creature,Grant the caster a bonus to their next attack.,"A magical aura surrounds the caster, with a faint image of a Jackalope in the center.",Spell,,,1,,,,,2023-10-31T08:02:42.243509,
284,Jackalope's Blessing,"A blessing from the Jackalope, granting its user a powerful boon.",creature,Grant the user a powerful buff that increases their attack and defense.,"A glowing, golden aura surrounds the user, with a small jackalope figure in the center, its antlers radiating light.",Spell,,,1,,,,,2023-10-31T08:02:42.262038,
285,Javelin of the Storm,A powerful javelin imbued with the power of the storm.,attack_item,Deals 2 damage to all enemies and restores 2 health to all allies.,A glowing blue javelin with a crackling lightning bolt running down its length.,Mage,,,1,,,,,2023-10-31T08:02:42.282516,
286,Jersey Devil's Fury,The Jersey Devil's Fury is a powerful spell that unleashes a powerful blast of energy that can devastate an entire battlefield.,creature,Deals massive damage to all enemies on the battlefield.,"A bright red and orange blast of energy erupts from the caster's hands, engulfing the battlefield in a destructive wave of energy.",Spell,,,1,,,,,2023-10-31T08:02:42.307143,
287,Jersey Devil's Fury,The Jersey Devil's Fury is a powerful card that can be used to unleash a powerful attack on your opponent.,creature,Deals 500 damage to your opponent's monsters.,"The card depicts a fierce looking Jersey Devil with its wings spread wide and its claws outstretched, ready to unleash its fury on its opponents.",Spell,,,1,,,,,2023-10-31T08:02:42.329022,
288,Jinx of Misfortune,"This card has the power to bring bad luck to your opponents. When played, it will cause your opponents to suffer a series of unfortunate events.",magic_item,"When played, your opponents will suffer a series of unfortunate events.","The card features a black cat with a mischievous grin, surrounded by a swirling purple mist. The cat's eyes glow with a sinister light.",Spell,,,1,,,,,2023-10-31T08:02:42.348848,
289,Jinx of Misfortune,"This card has the power to bring bad luck to your opponents. When played, it will cause your opponent to suffer a series of unfortunate events.",magic_item,"When played, your opponent will suffer a series of unfortunate events.",The card is a dark purple with a black silhouette of a jinx in the center. The jinx is surrounded by a swirling purple mist and a few stars.,Spell,,,1,,,,,2023-10-31T08:02:42.365712,
290,Jinx of Misfortune,"This card has the power to bring bad luck to your opponents. When played, it will cause your opponents to suffer a series of unfortunate events.",magic_item,"When played, all opponents suffer a series of unfortunate events.","The card features a black cat with a mischievous grin, surrounded by a swirling purple mist. The cat's eyes glow with a sinister light.",Spell,,,1,,,,,2023-10-31T08:02:42.386799,
291,Jinx of the Cursed Hex,A powerful spellcaster who has been cursed with a powerful hex that can be used to control the fate of others.,magic_item,"Once per turn, you can activate this card's effect to target 1 card on the field; that card's effects are negated until the end of the turn.","A tall, dark figure with a hooded cloak and a staff in one hand. The staff is glowing with a purple light and the figure's eyes are glowing with a sinister red light.",Spellcaster,,,1,,,,,2023-10-31T08:02:42.404910,
292,Jinx of the Cursed Hex,A powerful spellcaster who has been cursed with a powerful hex that can be used to control the fate of others.,magic_item,"Once per turn, you can activate this card's effect to target 1 face-up monster your opponent controls; it loses ATK and DEF equal to the number of Spellcaster-Type monsters you control x 200, until the end of this turn.","Jinx of the Cursed Hex appears as a tall, dark figure with a hooded cloak and a staff in one hand. His face is hidden in the shadows, but his eyes glow with a sinister purple light.",Spellcaster,,,1,,,,,2023-10-31T08:02:42.422854,
293,Jinx of Unfortunate Fortune,"This card has the power to bring misfortune to its target. When played, the target must roll a die and suffer the consequences of the roll.",magic_item,Target must roll a die and suffer the consequences of the roll.,"The card is a deep purple with a black border. In the center is a figure of a hooded figure with a scythe, surrounded by a swirling purple mist.",Spell,,,1,,,,,2023-10-31T08:02:42.442267,
294,Jinxed Lightning,"A powerful spell that can be used to jinx an enemy, causing them to be struck by lightning.",magic_item,Deals X amount of damage to target enemy.,"A bright yellow lightning bolt with a jagged edge, striking down from the sky and hitting the target.",Spell,,,1,,,,,2023-10-31T08:02:42.461881,
295,Jinxed Lightning,"A powerful spell that can be used to jinx an enemy, causing them to be struck by lightning.",magic_item,Deals 500 damage to an enemy.,"A bright yellow lightning bolt with a jagged edge, striking down from the sky.",Spell,,,1,,,,,2023-10-31T08:02:42.483865,
296,Jinxed Lightning,"A powerful spell that can be used to jinx an enemy, causing them to be struck by lightning.",magic_item,Deals lightning damage to an enemy.,"A bright yellow lightning bolt with a jagged edge, striking down from the sky.",Spell,,,1,,,,,2023-10-31T08:02:42.503435,
297,Jutte of the Wilds,"A powerful weapon of the wilds, Jutte of the Wilds is a powerful tool for any adventurer.",attack_item,Deals extra damage to wild creatures.,"Jutte of the Wilds is a long, curved blade with a jagged edge. The handle is wrapped in leather and adorned with a single emerald. The blade is a deep green color, and the hilt is decorated with intricate carvings of wild animals.",Weapon,,,1,,,,,2023-10-31T08:02:42.523869,
298,Jutte of the Wilds,"A powerful weapon of the wilds, Jutte of the Wilds is a powerful tool for those who seek to control the forces of nature.",attack_item,"When equipped, Jutte of the Wilds grants the wielder the ability to control the forces of nature.","Jutte of the Wilds is a long, curved blade with a jagged edge. The blade is made of a dark metal and is decorated with intricate carvings of animals and plants. The hilt is wrapped in leather and adorned with a large gemstone.",Weapon,,,1,,,,,2023-10-31T08:02:42.544994,
299,Kanabo's Fury,"This powerful weapon was forged by the legendary blacksmith Kanabo, and is said to be able to unleash a devastating fury upon its enemies.",attack_item,Deals massive damage to a single target.,"Kanabo's Fury is a large, two-handed hammer with a black handle and a silver head. The head is adorned with intricate carvings and runes, and the handle is wrapped in leather. When wielded, it glows with a fierce, orange light.",Weapon,,,1,,,,,2023-10-31T08:02:42.564474,
300,Kanabo's Fury,"A powerful weapon forged by the legendary blacksmith Kanabo, it is said to be able to unleash a devastating fury upon its enemies.",attack_item,Deals massive damage to a single target.,"A large, two-handed hammer with a black handle and a silver head, inscribed with ancient runes.",Weapon,,,1,,,,,2023-10-31T08:02:42.584947,
301,Katana of the Rising Sun,A powerful katana that radiates with the power of the sun.,attack_item,Increases attack power by 50%.,"A long, curved blade with a golden hilt and a red and gold tassel. The blade is inscribed with ancient symbols of the sun.",Weapon,,,1,,,,,2023-10-31T08:02:42.605193,
302,Katana of the Rising Sun,A powerful katana that radiates with the power of the sun.,attack_item,"Grants the wielder the power of the sun, allowing them to cast powerful fire-based spells.","A long, curved katana with a golden hilt and a blade that glows with a bright orange light.",Weapon,,,1,,,,,2023-10-31T08:02:42.623032,
303,Katar of the Burning Sands,"A powerful weapon from the deserts of the east, the Katar of the Burning Sands is a powerful tool of destruction.",attack_item,Deals extra fire damage to enemies.,"The Katar of the Burning Sands is a curved, double-edged blade with a long handle. The blade is made of a dark metal, and the handle is wrapped in a deep red cloth. The blade is etched with intricate designs of flames and desert scenes.",Weapon,,,1,,,,,2023-10-31T08:02:42.640037,
304,Katar's Fury,A powerful katar imbued with the fury of a thousand storms.,attack_item,Deals 2 damage to all enemies.,"A large katar with a blade made of lightning, surrounded by a swirling storm of energy.",Warrior,,,1,,,,,2023-10-31T08:02:42.662760,
305,Kelpie of the Deep,"A powerful creature from the depths of the sea, the Kelpie of the Deep is a force to be reckoned with.",creature,"When this creature enters the battlefield, all creatures your opponents control get -2/-2 until end of turn.","A large, blue-green creature with a long, serpentine body and a head resembling a horse. Its eyes glow with a deep, mysterious power.",Creature,,,1,,,,,2023-10-31T08:02:42.684633,
306,Kili's Firestorm,Kili's Firestorm deals 5 damage to all enemies on the field.,creature,Deals 5 damage to all enemies on the field.,"A swirling vortex of fire erupts from Kili's hands, engulfing the battlefield in a raging inferno.",Spell,,,1,,,,,2023-10-31T08:02:42.705397,
307,Knives of the Night,"These knives are said to be forged from the shadows of the night, and are said to be imbued with dark powers.",attack_item,Deals extra damage to enemies in the dark.,The knives are black and have a curved blade with a jagged edge. The hilt is made of a dark metal and has a red gem embedded in it.,Weapon,,,1,,,,,2023-10-31T08:02:42.725183,
308,Knives of the Nightblade,"These two knives are imbued with the power of the night, allowing the wielder to move with the shadows and strike with deadly precision.",attack_item,Deal double damage to enemies in the shadows.,"The Knives of the Nightblade are two curved blades, each with a black handle and a silver blade. The blades are etched with intricate designs, and the hilts are adorned with a single red gemstone.",Rogue,,,1,,,,,2023-10-31T08:02:42.747087,
309,Kraken's Wrath,Summon a giant kraken to wreak havoc on your enemies.,creature,Summons a giant kraken that deals 8 damage to all enemies.,"A giant kraken appears from the depths of the sea, its tentacles writhing and its eyes glowing with rage.",Warlock,,,1,,,,,2023-10-31T08:02:42.764675,
310,Kraken's Wrath,Summon a giant kraken to wreak havoc on your enemies.,creature,Summon a 5/5 Kraken with Taunt.,"A giant kraken with glowing red eyes and a menacing grin rises from the depths of the sea, ready to do battle.",Warlock,,,1,,,,,2023-10-31T08:02:42.787543,
311,Krampus's Fury,"Krampus's Fury is a powerful spell that unleashes a wave of dark energy, dealing massive damage to all enemies in its path.",creature,Deals massive damage to all enemies in its path.,"Krampus's Fury appears as a swirling vortex of dark energy, with a bright red core that radiates outwards in a destructive wave.",Sorcery,,,1,,,,,2023-10-31T08:02:42.808710,
312,Krampus's Fury,"When Krampus's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"Krampus stands atop a mountain of snow, his eyes blazing with rage as he unleashes a powerful wave of energy that engulfs the battlefield, empowering all creatures with increased strength.",Warrior,,,1,,,,,2023-10-31T08:02:42.836464,
313,Kunai of the Storm,A powerful weapon that can summon a powerful storm to devastate your enemies.,attack_item,Summons a powerful storm that deals damage to all enemies.,"A long, curved blade with a jagged edge and a lightning bolt etched into the hilt. The blade is surrounded by a swirling storm of energy.",Weapon,,,1,,,,,2023-10-31T08:02:42.854947,
314,Kunai of the Storm,"This magical kunai is imbued with the power of the storm, allowing its wielder to call down lightning and thunder.",attack_item,Deal 3 damage to a target creature or player and draw a card.,The Kunai of the Storm is a silver kunai with a blue lightning bolt etched into its blade. It is surrounded by a swirling storm of electricity.,Spell,,,1,,,,,2023-10-31T08:02:42.873131,
315,Kusarigama of the Rising Sun,"A powerful weapon of the Rising Sun, this Kusarigama is said to be able to cut through anything in its path.",attack_item,Deals extra damage to enemies.,"A long chain with a sickle-like blade at the end, connected to a wooden handle with a metal weight at the end. The blade is decorated with a sun motif.",Weapon,,,1,,,,,2023-10-31T08:02:42.897019,
316,Lamellar Armor of the Ancients,This ancient armor was crafted by the gods to protect their chosen champions from harm.,defense_item,Grants the wearer +2 to all defense stats.,"The armor is made of a dark metal, with intricate patterns of gold and silver inlaid into it. It is covered in small, overlapping plates of metal, giving it a scale-like appearance.",Armor,,,1,,,,,2023-10-31T08:02:42.921024,
317,Lamellar Shield,"A shield made of overlapping metal plates, providing superior protection.",defense_item,Reduces incoming damage by 50%.,"A large, round shield made of overlapping metal plates, with a handle on the back for gripping.",Defensive,,,1,,,,,2023-10-31T08:02:42.942493,
318,Lamia's Blessing,A powerful blessing bestowed upon you by the mysterious Lamia.,creature,Restore 5 Health to a friendly character.,"A glowing green light radiates from a mysterious figure, enveloping a friendly character and restoring their health.",Spell,,,1,,,,,2023-10-31T08:02:42.959819,
319,Lamia's Shadow,"When this card is summoned, all monsters on the field become dark-attributed and gain 500 ATK and DEF.",creature,All monsters on the field become dark-attributed and gain 500 ATK and DEF.,"A shadowy figure of a woman with long black hair and glowing red eyes looms over the battlefield, her hands outstretched as if to embrace the monsters below.",Spell,,,1,,,,,2023-10-31T08:02:42.980104,
320,Lamia's Shadow,"When this card is summoned, all monsters on the field become dark-attributed.",creature,All monsters on the field become dark-attributed.,"A shadowy figure of a woman with long black hair and glowing red eyes stands in the center of a dark void, her arms outstretched as if to embrace the darkness.",Spell,,,1,,,,,2023-10-31T08:02:43.003764,
321,Landmine Crusher,This card can be used to destroy all landmines on the field.,attack_item,Destroy all landmines on the field.,"A large robotic arm with a spiked wheel on the end, crushing landmines beneath it.",Spell,,,1,,,,,2023-10-31T08:02:43.037579,
322,Laser Gun Blaster,A powerful laser gun that can blast through any obstacle.,attack_item,Deals 500 damage to a single target.,A sleek black gun with a red laser sight and a long barrel.,Weapon,,,1,,,,,2023-10-31T08:02:43.060452,
323,Leather Armor Knight,"A knight clad in leather armor, ready to fight for justice.",defense_item,"When this card is summoned, all friendly monsters gain +500 ATK and DEF.","A knight wearing leather armor, with a shield and sword in hand, standing atop a hill with a determined look on their face.",Warrior,,,1,,,,,2023-10-31T08:02:43.087182,
324,Loch Ness Monster of the Deep,"A legendary creature that lurks in the depths of Loch Ness, Scotland.",creature,"When this card is summoned, all other monsters on the field are destroyed.","A large, green, serpent-like creature with a long neck and four flippers.",Legendary,,,1,,,,,2023-10-31T08:02:43.113463,
325,Longbow Archer,"A skilled archer with a longbow, able to fire arrows from a great distance.",attack_item,Deals ranged damage to a single target.,"A tall figure wearing a hooded cloak, with a longbow in one hand and a quiver of arrows on their back.",Ranged,,,1,,,,,2023-10-31T08:02:43.152641,
326,Longbow Archer,A powerful ranged attacker that can take out enemies from afar.,attack_item,Deals ranged damage to a single target.,"A tall, muscular figure wearing a green tunic and a brown leather cap, holding a longbow in one hand and an arrow in the other.",Archer,,,1,,,,,2023-10-31T08:02:43.194774,
327,Mace of Fury,This mace is said to be imbued with the fury of a thousand storms. It is said to be able to unleash a powerful shockwave when swung.,attack_item,Unleashes a powerful shockwave when swung.,"The Mace of Fury is a large, black mace with a spiked head. It is said to be made of a mysterious metal that glows with a faint blue light.",Weapon,,,1,,,,,2023-10-31T08:02:43.225945,
328,Mace of Fury,"This mace is imbued with the power of fury, allowing its wielder to unleash a powerful attack.",attack_item,Deals extra damage to enemies.,"A large mace with a spiked head and a long handle, glowing with a fiery red aura.",Weapon,,,1,,,,,2023-10-31T08:02:43.253447,
329,Macuahuitl of the Sun,"A powerful weapon of the Aztec gods, the Macuahuitl of the Sun is a legendary weapon that can channel the power of the sun to smite its enemies.",attack_item,Deals massive damage to enemies in a wide area.,"The Macuahuitl of the Sun is a large, ornate weapon made of gold and obsidian. Its blade is shaped like a sunburst, and it is decorated with intricate carvings of Aztec gods and symbols.",Legendary,,,1,,,,,2023-10-31T08:02:43.293821,
330,Maeglin's Fury,"When Maeglin's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A powerful bolt of lightning strikes the battlefield, energizing all creatures with a bright blue aura.",Spell,,,1,,,,,2023-10-31T08:02:43.317674,
331,Maeglin's Fury,Deal 5 damage to all enemies.,creature,Deal 5 damage to all enemies.,"A powerful blast of arcane energy erupts from the caster's hands, engulfing all enemies in a searing wave of destruction.",Mage,,,1,,,,,2023-10-31T08:02:43.346918,
332,Mail Armor Knight,"A knight clad in mail armor, ready to defend the kingdom.",defense_item,Gain +2 attack and +2 defense.,"A knight wearing a full suit of mail armor, with a shield and sword in hand.",Warrior,,,1,,,,,2023-10-31T08:02:43.378582,
333,Manticore's Fury,"When this card is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A fierce manticore is depicted on the card, surrounded by a swirling vortex of energy. Its eyes are glowing with rage, and its claws are outstretched as if ready to strike.",Neutral,,,1,,,,,2023-10-31T08:02:43.404340,
334,Mermaid's Tail,This card allows you to transform into a mermaid for a short period of time.,creature,Transform into a mermaid for a short period of time.,"A beautiful mermaid with a long, flowing tail, surrounded by a shimmering blue light.",Spell,,,1,,,,,2023-10-31T08:02:43.438884,
335,Meteor Hammer of the Heavens,"A powerful hammer forged from the heavens, capable of unleashing devastating blows.",attack_item,Deals massive damage to a single target.,"A large hammer with a long handle, made of a shining silver metal. The head of the hammer is shaped like a meteor, with a bright red glow emanating from it.",Weapon,,,1,,,,,2023-10-31T08:02:43.478527,
336,Meteor Hammer Strike,Summon a meteor hammer to strike your enemies with a powerful blow.,attack_item,Deals 500 damage to all enemies.,"A large meteor hammer appears in the sky and slams down on the enemies, causing a huge explosion.",Warrior,,,1,,,,,2023-10-31T08:02:43.511701,
337,Minotaur's Fury,This spell summons a raging minotaur to fight for you.,creature,Summons a minotaur to fight for you for 3 turns.,"A large minotaur appears with a flaming axe in its hands, ready to fight for you.",Warlock,,,1,,,,,2023-10-31T08:02:43.533046,
338,Minotaur's Fury,This spell summons a raging minotaur to fight for you.,creature,Summons a minotaur with 5 attack and 5 health.,"A large minotaur appears, wielding a giant axe and roaring with rage.",Warlock,,,1,,,,,2023-10-31T08:02:43.551858,
339,Molotov's Fury,A powerful spell that deals massive fire damage to all enemies.,attack_item,Deals massive fire damage to all enemies.,"A large fireball erupts from the caster's hands, engulfing all enemies in a raging inferno.",Mage,,,1,,,,,2023-10-31T08:02:43.570203,
340,Mothman's Fury,"When Mothman's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A giant moth with glowing red eyes appears in the sky, unleashing a powerful beam of energy that envelops the battlefield, granting all creatures increased strength.",Neutral,,,1,,,,,2023-10-31T08:02:43.590947,
341,Mummy's Curse,"A powerful curse that can be cast on an enemy, draining their life force and dealing damage over time.",creature,Deals damage over time to an enemy.,"A swirling black mist that takes the form of a mummy, with glowing red eyes and a menacing scowl.",Curse,,,1,,,,,2023-10-31T08:02:43.610546,
342,Naga's Fury,"When Naga's Fury is played, all creatures on the battlefield gain +2 attack and +2 health.",creature,All creatures on the battlefield gain +2 attack and +2 health.,"A fierce Naga with glowing red eyes and a flaming sword stands atop a pile of skulls, surrounded by a raging inferno.",Neutral,,,1,,,,,2023-10-31T08:02:43.635395,
343,Naginata of the Rising Sun,"A powerful weapon that radiates a brilliant light, the Naginata of the Rising Sun is said to be able to cut through any obstacle.",attack_item,Deals extra damage to enemies.,"A long pole with a curved blade at the end, the Naginata of the Rising Sun is decorated with a bright red sunburst pattern and glows with a brilliant light.",Weapon,,,1,,,,,2023-10-31T08:02:43.653467,
344,Naginata of the Rising Sun,A powerful weapon that radiates a brilliant light when wielded.,attack_item,"When this card is played, all friendly units gain +2 attack and +2 health.","A long, curved blade with a golden hilt and a brilliant red sun emblazoned on the blade. The blade is surrounded by a brilliant golden aura.",Legendary,,,1,,,,,2023-10-31T08:02:43.672448,
345,Nori's Mystic Guardian,A powerful guardian spirit summoned by Nori to protect her from harm.,creature,"When this card is summoned, all friendly creatures gain +2 attack and +2 defense.","A tall, humanoid figure with a glowing blue aura. Its eyes are a deep, dark blue and its body is covered in intricate tattoos. It wields a large, ornate staff in one hand and a glowing shield in the other.",Mystic,,,1,,,,,2023-10-31T08:02:43.690773,
346,Nori's Mystic Shield,A magical shield that can protect its wielder from any magical attack.,creature,Grants the wielder immunity to magical attacks.,"A large, round shield made of a mysterious, glowing blue metal. It has a golden trim and a large, ornate crest in the center.",Defensive,,,1,,,,,2023-10-31T08:02:43.724948,
347,Nunchaku Fury,A powerful weapon that can be used to unleash a flurry of attacks.,attack_item,Deals damage to all enemies in a line.,A pair of nunchaku with a fiery aura surrounding them.,Weapon,,,1,,,,,2023-10-31T08:02:43.745998,
348,Nunchaku of the Rising Sun,This powerful weapon is said to be blessed by the sun itself. It is said to be able to channel the power of the sun to smite evil.,attack_item,Deals extra damage to evil creatures.,"The Nunchaku of the Rising Sun is a pair of wooden nunchaku with a bright yellow sun symbol on each end. The wood is a deep, rich brown and the sun symbol is a bright yellow. The handle of each nunchaku is wrapped in a bright yellow cloth.",Weapon,,,1,,,,,2023-10-31T08:02:43.766378,
349,Nymph of the Forest,"A mysterious creature of the forest, the Nymph of the Forest is a powerful ally to those who can gain its trust.",creature,"When this card is summoned, all friendly creatures gain +2 attack and +2 defense.","The Nymph of the Forest appears as a beautiful woman with long, flowing hair and a dress made of leaves and vines. Her eyes are a deep green, and her skin is a pale green. She carries a staff made of a twisted tree branch, and her feet never touch the ground.",Nature,,,1,,,,,2023-10-31T08:02:43.785902,
350,Nymph of the Forest,"A mysterious creature of the forest, the Nymph of the Forest is a powerful ally to those who can gain its trust.",creature,"When this card is summoned, all friendly Nature creatures gain +2 Attack and +2 Health.","The Nymph of the Forest appears as a beautiful woman with long, flowing hair and a dress made of leaves and vines. She has a bow and arrow in her hands, and her eyes glow with a mysterious power.",Nature,,,1,,,,,2023-10-31T08:02:43.805993,
351,Ogre's Fury,"This card allows the user to unleash the fury of an Ogre, dealing massive damage to all enemies.",creature,Deals massive damage to all enemies.,"The card depicts an Ogre roaring in rage, with a bright red aura emanating from its body.",Spell,,,1,,,,,2023-10-31T08:02:43.824716,
352,"Oil of Etherealness, the Mystic",A mysterious oil that grants the user the power to transcend the physical realm and enter the ethereal plane.,magic_item,Grants the user the power to transcend the physical realm and enter the ethereal plane.,A small vial of shimmering blue liquid with a faint glow emanating from it.,Mystic,,,1,,,,,2023-10-31T08:02:43.842465,
353,"Oil of Slipperiness, Slippery Slick","This magical oil can be used to make any surface slippery and slick. It can be used to make a path more difficult to traverse, or to make a surface more difficult to stand on.",magic_item,Makes surfaces slippery and slick.,"A clear, viscous liquid that glistens in the light.",Magical,,,1,,,,,2023-10-31T08:02:43.861651,
354,"Oil of Slipperiness, Slippery Slick",This magical oil can be applied to any surface to make it incredibly slippery. It can be used to create a slippery escape route or to make a battlefield more treacherous.,magic_item,Surfaces become incredibly slippery.,"A small vial of shimmering, clear oil that glistens in the light.",Item,,,1,,,,,2023-10-31T08:02:43.884748,
355,"Oil of Slipperiness, the Slippery Card","This card grants the user the power of slipperiness, allowing them to slip out of any situation with ease.",magic_item,"The user is granted the power of slipperiness, allowing them to slip out of any situation with ease.","The card depicts a bottle of oil with a slippery surface, and a figure slipping away from a group of pursuers.",Spell,,,1,,,,,2023-10-31T08:02:43.901632,
